date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-08-31,2468,44000,452150,10.3,10.15,-0.05,12.0,10.3,10.15
2015-09-01,2468,209200,2136340,10.35,10.1,-0.05,28.0,10.35,10.1
2015-09-02,2468,186855,1870120,10.0,10.1,0.0,45.0,10.15,9.97
2015-09-03,2468,328000,3331300,10.2,10.1,0.0,73.0,10.3,10.05
2015-09-04,2468,99000,991750,10.1,9.99,-0.11,33.0,10.1,9.93
2015-09-07,2468,171000,1721050,9.98,10.1,0.11,43.0,10.15,9.98
2015-09-08,2468,332000,3394850,10.15,10.1,0.0,59.0,10.35,10.05
2015-09-09,2468,122100,1237115,10.15,10.1,0.0,51.0,10.2,10.1
2015-09-10,2468,352000,3553700,10.0,10.0,-0.1,81.0,10.15,9.96
2015-09-11,2468,122001,1221720,9.99,10.05,0.05,57.0,10.1,9.99
2015-09-14,2468,58100,580480,10.05,9.94,-0.11,30.0,10.05,9.94
2015-09-15,2468,63200,630550,10.0,9.93,-0.01,26.0,10.0,9.93
2015-09-16,2468,537000,5407990,9.93,10.1,0.17,102.0,10.2,9.91
2015-09-17,2468,281011,2850561,10.2,10.1,0.0,67.0,10.2,10.05
2015-09-18,2468,104000,1057000,10.2,10.15,0.05,34.0,10.2,10.1
2015-09-21,2468,173000,1744160,10.1,10.2,0.05,64.0,10.2,9.96
2015-09-22,2468,318000,3256700,10.2,10.25,0.05,76.0,10.3,10.15
2015-09-23,2468,67049,677194,10.05,10.15,-0.1,29.0,10.15,10.05
2015-09-24,2468,253000,2594750,10.2,10.1,-0.05,70.0,10.35,10.1
2015-09-25,2468,150001,1526710,10.1,10.1,0.0,39.0,10.25,10.1
2015-09-30,2468,256000,2618200,10.2,10.3,0.2,39.0,10.3,10.1
2015-10-01,2468,56000,569900,10.3,10.2,-0.1,25.0,10.3,10.05
2015-10-02,2468,115906,1194841,10.3,10.25,0.05,37.0,10.4,10.15
2015-10-05,2468,246300,2543525,10.35,10.25,0.0,54.0,10.4,10.25
2015-10-06,2468,547000,5698950,10.3,10.35,0.1,179.0,10.65,10.25
2015-10-07,2468,425000,4422650,10.3,10.3,-0.05,101.0,10.5,10.3
2015-10-08,2468,220968,2279373,10.4,10.25,-0.05,50.0,10.4,10.2
2015-10-12,2468,56002,574420,10.3,10.25,0.0,25.0,10.3,10.25
2015-10-13,2468,46000,472150,10.25,10.35,0.1,20.0,10.35,10.25
